Station Code,LOCATION,STATE,Temp Min,Temp Max,Temperature,Do Min,Do Max,Dissolved Oxygen,pH Min,pH Max,pH,Con Min,Con Max,Conductivity,BCOD Min,BCOD Max,Bio Chemical Oxygen Demand,Ni Min,Ni Max,Nitrate,FC Min,FC Max,Faecal Coliform,TC Min,TC Max,Total Coliform,Potability
1001,BEASATU/SMANALI,HIMACHALPRADESH,2,13,8,8.7,11.2,10,7.3,8.4,7.9,90,179,135,0.1,0.2,0.2,0.2,0.31,0.26,12,33,23,120,240,180,0
4444,RIVERBEASD/SOFWPFATMANALI,HIMACHALPRADESH,8,14,11,8.5,10.8,9.7,7.3,8.1,7.7,62,92,77,0.1,0.8,0.5,0.2,0.2,0.2,31,94,63,280,540,410,0
4037,RIVERBEASD/SMANALSUNALLAH,HIMACHALPRADESH,2,13,8,8.9,10.9,9.9,7,8.3,7.7,68,135,102,0.1,1,1,0.1,0.1,0.1,20,32,26,120,280,200,0
2601,BEASATD/SMANALI,HIMACHALPRADESH,3,14,9,8.2,11.1,9.7,6.9,8.2,7.6,78,218,148,0.1,0.6,0.4,0.1,0.4,0.3,25,170,98,280,920,600,0
2602,BEASATU/SKULLU,HIMACHALPRADESH,5,15,10,7.6,11.5,9.6,7,8.6,7.8,63,149,106,0.1,0.4,0.3,0.1,0.2,0.2,25,70,48,220,540,380,0
4445,RIVERBEASD/SOFWPFATKULLU,HIMACHALPRADESH,9,13,11,7.8,11.1,9.5,7.5,8,8,73,122,98,0.3,1.4,0.9,0.2,0.4,0.3,40,94,67,350,540,445,0
1002,BEASATD/SKULU,HIMACHALPRADESH,6,13,10,7.8,11.3,9.6,7.4,8.4,7.9,66,341,204,0.2,0.8,0.5,0.03,0.36,0.2,39,110,75,220,920,570,0
1003,BEASATD/SAUT,HIMACHALPRADESH,6,15,11,8.7,11,10,7.3,8.1,7.7,50,141,96,0.1,0.4,0.3,0.1,0.13,0.12,26,94,60,150,430,290,0
1004,BEASATU/SPANDOHDAM,HIMACHALPRADESH,10,19,15,8.6,11,10,7.5,8.4,8,62,136,99,0.1,0.4,0.3,0.1,0.1,0.1,13,40,27,170,280,225,0
2603,BEASATD/SPANDOHDAM,HIMACHALPRADESH,9,24,17,7.2,11.3,9.3,7.2,8.1,7.7,74,149,112,0.1,0.4,0.3,0.1,0.2,0.2,22,110,66,240,350,295,0
1005,BEASATEXITOFTUNNELDEHALPOWERHOUSE,HIMACHALPRADESH,14,24,19,7.9,9.9,8.9,7.8,8.6,8.2,83,241,162,0.1,0.4,0.3,0.1,0.14,0.12,26,49,38,130,350,240,0
1550,BEASU/SMANDI,HIMACHALPRADESH,7,22,15,7.1,10.2,8.7,7.7,8.4,8.1,73,159,116,0.1,0.2,0.2,0.1,0.2,0.2,17,27,22,120,280,200,0
1006,BEASATD/SMANDI,HIMACHALPRADESH,8,24,16,8.1,11.2,9.7,7.6,8.5,8.1,75,251,163,0.2,0.6,0.4,0.02,0.92,0.47,31,350,191,340,1600,970,0
2604,BEASATD/SJAISINGHPUR,HIMACHALPRADESH,8.5,16,12,9,10.5,9.8,7.4,8.6,8,129,340,235,0.1,0.5,0.3,0.5,1.3,0.9,2,6,4,39,170,105,0
1007,BEASATD/SALAMPUR,HIMACHALPRADESH,8.5,14,11,9,10.3,9.7,7.5,8.1,7.8,122.8,290,206,0.1,0.5,0.3,0.47,1.41,0.94,2,6,4,47,150,99,0
3855,"BEASD/SNADAUNBRIDGE,VILLBHADOLI",HIMACHALPRADESH,8.5,20,14,9,11.5,10.3,7.3,8.1,7.7,176,323,250,0.1,0.4,0.3,0.2,1.2,0.7,2,6.1,4.1,40,170,105,0
1009,BEASATD/SPONGDAM,HIMACHALPRADESH,11.5,16,14,8.3,9.4,8.9,7.18,7.9,7.5,105,196,151,0.1,0.4,0.3,0.22,1.14,0.68,2,6,4,58,180,119,0
1008,BEASATD/SDEHRAGOPIPUR,HIMACHALPRADESH,7.3,18,13,7.9,9.5,8.7,7.25,8,8,114,326,220,0.1,0.5,0.3,0.39,0.98,0.69,2,40,21,48,170,109,0
